refs,qty,value,footprint,opc_id,name,citation
U1,1,ESP32-S3-WROOM-1,ESP32-S3-WROOM-1,boards/esp32-s3,esp32-s3,Oh-Ben-Claw registry/registry.json (generated from src/peripherals/registry.rs)
U2,1,BME280,Bosch_LGA-8_2.5x2.5mm_P0.65mm_ClockwisePinNumbering,electronic/bme280,bme280,Oh-Ben-Claw registry/registry.json (generated from src/peripherals/registry.rs)
